,序号,机构名称,从业人员数,一般证券业务,证券投资咨询业务(其他),证券经纪业务营销,证券经纪人,证券投资咨询业务(分析师),证券投资咨询业务(投资顾问),保荐代表人,投资主办人,机构ID
82,83,申万宏源西部证券有限公司,1143,644,0,1,168,1,329,0,0,1999118
83,84,申万宏源证券承销保荐有限责任公司,408,318,0,0,0,0,0,90,0,601
84,85,申万宏源证券有限公司,10278,4950,0,6,3815,0,1423,0,84,1999090
85,86,世纪证券有限责任公司,1474,902,0,64,439,9,43,5,12,1999103
86,87,首创证券有限责任公司,1653,894,0,12,586,3,141,9,8,1999011
87,88,太平洋证券股份有限公司,2713,1615,0,0,748,54,236,21,39,1999119
88,89,天风证券股份有限公司,3884,2514,0,2,1016,95,183,27,47,1999111
89,90,万和证券股份有限公司,1327,624,0,1,616,5,69,4,8,1999038
90,91,万联证券股份有限公司,2409,1391,0,33,722,8,222,12,21,1999027
91,92,网信证券有限责任公司,729,496,0,0,158,6,57,4,8,1999065
92,93,五矿证券有限公司,1577,807,0,1,692,3,49,6,19,1999095
93,94,西部证券股份有限公司,2927,2012,0,7,455,21,390,20,22,1999080
94,95,西藏东方财富证券股份有限公司,3748,1084,0,2,2543,9,83,4,23,1999116
95,96,西南证券股份有限公司,3492,1768,0,19,1121,46,462,43,33,1999125
96,97,湘财证券股份有限公司,1945,1166,0,0,471,4,289,8,7,1999050
97,98,新时代证券股份有限公司,2272,1236,0,10,788,26,193,7,12,1999028
98,99,信达证券股份有限公司,3069,1675,0,9,739,45,558,20,23,1999150
99,100,兴业证券股份有限公司,6358,3781,0,0,1316,95,1070,96,0,1999019
100,101,兴证证券资产管理有限公司,118,91,0,0,0,0,0,0,27,594
101,102,银泰证券有限责任公司,1607,544,0,1,979,1,63,12,7,1999147
102,103,英大证券有限责任公司,1116,538,0,2,516,6,24,17,13,1999099
103,104,招商证券股份有限公司,8737,5190,0,41,2395,97,893,121,0,1999109
104,105,浙商证券股份有限公司,3392,2350,0,14,742,44,197,45,0,1999123
105,106,中德证券有限责任公司,242,196,0,0,0,0,0,46,0,1999152
106,107,中国国际金融股份有限公司,2537,2135,0,0,0,109,148,99,46,1999008
107,108,中国民族证券有限责任公司,1896,1099,0,8,393,4,356,36,0,1999005
108,109,中国银河证券股份有限公司,9492,6043,0,0,1201,36,2177,34,1,1999013
109,110,中国中投证券有限责任公司,4334,2450,0,7,1066,4,780,5,22,1999096
